dotty, 3546, 2017-11-23T23:35:38Z, 5d267eb, 33602.099, Fri Nov 24 01:09:17 CET 2017, 76982.071 39064.129 36520.002 35383.412 35398.857 34787.280 34352.829 34371.048 34322.608 35128.600 34085.683 34118.024 34019.278 35016.754 33965.829 34113.300 34005.255 34905.147 33812.323 33832.654 33802.215 34591.468 33609.109 33729.765 33585.433 34627.955 33532.212 33696.863 33588.697 34499.600 , 33566.366 33601.740 33602.458 34205.367 33652.259 33654.404 33550.090 34274.320 33583.229 33481.002 33565.010 34248.831 33402.063 33649.974 33461.883 34153.492 33542.170 33683.410 33516.896 34178.750
tests/scala-library, 3546, 2017-11-23T23:35:38Z, 5d267eb, 5649.6415, Fri Nov 24 01:14:53 CET 2017, 21824.230 13323.087 7947.069 7049.416 7144.003 6463.477 6364.986 6135.704 6093.770 6118.576 5979.762 5948.795 5871.099 5854.413 5837.469 5804.797 5848.450 5812.290 6115.847 5788.287 5787.844 5886.148 5889.774 5761.839 5757.140 5714.541 5797.402 5704.471 5739.832 5750.905 , 6176.302 5728.779 5830.847 5653.849 5700.322 5643.817 5642.977 5636.750 5643.713 5660.014 5661.124 5626.188 5697.020 5655.606 5618.767 5665.162 5645.434 5635.715 5626.102 5622.602
tests/implicit_cache.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 107.8445, Fri Nov 24 01:16:05 CET 2017, 2851.044 663.022 457.447 416.357 344.247 269.645 210.132 155.498 143.333 140.213 134.287 132.246 153.352 124.270 126.411 121.020 138.507 129.013 115.947 118.395 117.791 117.044 113.991 114.576 118.070 114.434 120.921 118.587 124.966 120.353 , 125.510 114.380 108.495 113.511 111.586 109.496 105.848 106.011 107.818 106.080 107.871 104.459 108.110 105.221 113.099 107.598 108.021 105.255 106.170 103.124
tests/implicit-scope-loop.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 112.5535, Fri Nov 24 01:17:15 CET 2017, 3037.683 583.685 501.376 501.922 310.256 338.168 256.171 217.670 174.199 176.875 150.987 139.692 136.432 131.685 131.144 140.839 128.420 125.709 137.427 123.275 123.770 121.247 120.927 117.743 119.492 117.621 120.076 120.449 115.357 117.831 , 116.869 115.159 115.569 115.421 115.007 114.167 114.187 112.067 136.987 113.630 110.524 112.251 110.458 111.559 109.207 110.886 108.574 112.289 111.828 112.818
tests/i1535.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 131.6585, Fri Nov 24 01:18:28 CET 2017, 3722.255 747.044 668.100 450.717 376.995 271.127 339.792 235.521 267.385 189.484 172.676 168.530 163.636 167.513 155.675 153.544 155.591 150.139 147.909 151.611 144.796 144.201 142.353 146.310 140.889 141.942 139.365 137.310 140.619 144.255 , 143.475 136.560 135.842 137.146 140.668 136.815 131.891 133.176 130.413 132.131 132.970 129.070 130.843 126.852 127.861 131.426 126.911 128.721 129.962 127.576
tests/i1687.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 86.552, Fri Nov 24 01:19:38 CET 2017, 2668.584 564.996 338.904 286.546 241.117 253.154 218.013 183.822 134.669 104.027 102.102 99.783 96.717 99.349 96.428 101.015 95.048 93.140 94.066 93.608 104.457 92.794 90.269 94.198 92.600 94.910 88.948 94.533 92.178 88.126 , 89.125 89.537 88.357 86.376 95.013 87.670 88.169 85.505 86.983 93.169 86.728 84.601 84.747 85.908 84.544 91.855 84.547 85.823 84.285 84.565
tests/Vector.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 577.823, Fri Nov 24 01:23:28 CET 2017, 7371.624 2529.875 1980.945 1443.823 1366.754 1699.152 1556.606 1075.887 1415.267 1296.729 847.181 1103.879 1017.843 756.063 655.859 667.145 635.969 638.486 638.926 628.472 7426.359 2291.813 2065.350 1972.797 1765.362 1620.110 1498.347 1344.864 1148.705 1268.177 918.856 1055.382 767.191 728.848 695.747 692.192 676.825 750.640 722.845 693.895 7081.430 2914.958 2128.636 1634.799 1459.566 1533.722 1312.074 1085.707 849.497 860.423 1009.973 713.854 696.340 690.306 667.112 659.051 683.198 632.177 615.662 658.361 , 612.954 604.700 626.751 595.099 599.218 612.450 581.170 591.242 599.711 612.331 565.791 565.319 603.147 605.153 553.149 584.137 556.535 556.301 549.395 548.155 552.254 540.221 538.977 538.591 558.087 548.464 534.584 541.824 550.571 535.397 663.214 639.376 613.972 804.345 612.608 637.499 698.069 637.534 586.011 590.668 578.741 574.780 593.063 579.754 580.588 577.059 578.352 597.221 574.556 565.402 572.995 574.500 577.294 563.865 583.205 556.914 558.017 589.868 559.435 556.768 619.135 646.638 632.362 586.142 637.039 652.687 688.887 688.481 596.956 558.851 556.806 581.828 583.586 573.055 550.567 582.099 584.736 618.761 548.910 562.220 544.535 562.392 550.355 571.215 535.612 541.978 562.827 541.952 534.359 541.524
tests/empty-class.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 73.147, Fri Nov 24 01:24:38 CET 2017, 2398.072 451.175 325.166 260.712 228.646 182.841 111.875 95.889 88.398 83.590 89.090 82.167 80.323 77.362 79.918 76.750 78.336 76.610 76.653 76.589 76.436 74.828 77.137 76.198 80.406 76.715 74.818 76.113 75.501 73.245 , 74.399 73.323 74.014 73.291 74.266 73.007 73.976 72.871 73.287 71.855 74.262 71.331 77.216 71.605 72.191 71.809 71.022 72.189 75.588 72.174
tests/empty-object.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 74.5995, Fri Nov 24 01:25:50 CET 2017, 2463.688 433.770 300.482 213.586 238.946 200.133 137.014 99.053 98.459 89.434 87.507 80.491 82.015 80.265 80.467 77.331 81.138 76.501 77.777 76.111 76.643 75.231 77.058 75.013 77.698 75.588 76.208 74.084 75.328 75.338 , 75.799 73.683 74.798 74.649 76.013 74.550 76.377 73.357 74.693 81.367 77.059 73.835 82.313 81.550 72.859 73.973 74.222 72.823 73.753 73.300
tests/empty-file.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 57.518, Fri Nov 24 01:26:58 CET 2017, 1880.664 276.801 180.747 143.453 127.134 104.381 83.947 80.395 67.275 69.228 61.588 61.776 61.611 59.409 61.927 60.053 60.514 59.060 60.346 60.629 59.045 59.591 58.391 59.506 58.028 59.226 58.124 59.264 59.131 58.273 , 58.951 57.447 59.067 57.256 58.702 57.798 56.932 58.100 56.527 57.840 56.417 59.249 57.689 56.314 57.589 56.940 59.707 56.144 57.345 57.099
tests/patmatexhaust.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 298.828, Fri Nov 24 01:31:09 CET 2017, 5896.724 2061.521 1370.723 1420.185 1325.296 1181.900 1069.903 803.290 695.723 566.174 741.140 636.135 539.921 475.992 588.983 407.997 401.487 372.925 357.473 362.488 5687.099 1805.280 1265.802 1047.832 963.334 812.657 858.746 804.358 748.378 546.965 479.189 454.838 440.932 435.773 407.558 394.213 379.788 432.856 436.986 374.774 5746.528 1649.850 1432.781 1122.403 975.366 992.483 959.283 788.511 551.602 747.611 670.583 533.028 474.937 601.019 448.600 415.323 376.914 368.687 356.294 367.611 , 357.325 372.244 337.087 332.789 432.704 338.742 320.594 322.680 317.697 307.745 311.141 301.415 298.403 305.729 350.112 308.382 339.539 351.786 291.742 294.975 297.949 285.513 290.481 295.810 287.821 286.994 304.797 280.950 287.589 290.242 278.014 281.206 283.258 276.524 280.992 278.709 280.985 279.018 281.995 276.115 376.554 372.815 361.900 320.422 319.286 328.339 324.231 310.700 319.102 311.714 314.937 313.520 322.489 311.349 301.398 298.123 298.058 300.714 293.213 292.722 327.383 295.803 304.781 299.030 287.091 290.783 427.528 293.006 310.690 285.026 285.212 281.573 276.547 285.124 277.533 277.961 284.485 276.460 275.636 278.508 355.083 344.163 343.839 344.123 333.862 328.617 334.642 331.489 357.149 366.115 401.403 318.068 309.883 315.509 342.286 307.776 308.171 298.626 300.238 302.033 294.432 295.157 300.825 302.948 291.748 295.284 297.816 289.977 297.005 296.363 288.907 284.892 290.298 290.093 280.906 286.106 281.051 280.163 285.951 289.446
tests/exhaustivity-I.scala, 3546, 2017-11-23T23:35:38Z, 5d267eb, 177.7325, Fri Nov 24 01:34:59 CET 2017, 3931.195 1221.561 1300.524 1082.784 879.373 724.930 625.607 557.468 379.528 354.991 388.542 293.380 270.395 242.995 243.115 223.533 254.442 213.299 245.068 202.162 4056.056 1129.487 1191.345 836.825 635.912 566.581 459.953 404.462 375.821 312.870 322.769 252.124 246.924 241.686 235.648 215.569 221.134 204.957 224.377 203.632 4184.203 1348.531 1143.772 1040.729 843.817 724.599 609.517 422.630 323.340 299.906 280.598 269.200 251.255 236.517 237.207 216.724 211.465 207.517 201.026 201.099 , 198.497 194.859 191.265 195.811 190.802 188.646 187.573 184.424 185.103 180.366 181.181 182.069 181.362 181.780 180.946 180.234 190.163 184.146 182.756 220.669 179.322 177.495 185.314 174.505 174.467 171.788 171.490 176.250 171.078 169.904 174.171 170.045 171.829 168.019 168.342 171.845 167.133 169.192 166.650 166.720 197.942 195.135 194.799 188.006 189.200 189.197 185.136 190.367 184.649 185.400 183.491 183.167 188.355 179.101 179.644 181.663 186.675 223.357 227.725 188.408 175.811 181.146 173.457 175.819 174.436 173.487 174.612 171.211 171.710 172.219 171.871 177.286 174.470 167.993 177.967 166.241 167.960 166.016 166.080 168.219 202.919 189.997 192.468 190.874 184.312 185.263 179.974 181.703 181.077 177.498 179.826 176.008 177.162 178.563 178.675 174.801 182.827 202.720 203.129 174.336 171.557 171.661 171.504 168.823 170.773 165.716 169.584 165.181 164.687 169.530 166.462 180.808 166.214 166.600 164.163 163.627 164.867 163.576 165.148 165.108
