dotty, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:09:20 CEST 2020, 99140.560 61386.112 54372.583 53483.810 51637.756 51162.737 51882.653 50743.170 50639.006 51409.116 50484.362 50611.915 50893.608 50103.540 50159.853 50555.720 50122.598 50152.297 50486.073 49930.621 51585.737 49904.482 50067.049 50257.563 49929.207 51275.184 49864.237 51216.344 49983.786 51299.120 , 50193.234 51090.925 49979.599 51250.633 50015.080 51005.696 49939.429 50891.116 49969.627 50800.158 49776.591 50714.489 49881.329 50515.036 49875.808 50548.719 49801.303 50424.322 49837.840 50219.622
re2s, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:12:35 CEST 2020, 15591.718 6735.076 5848.218 5187.108 4395.164 3948.631 3787.502 3645.436 3401.324 3279.550 3143.226 3140.915 3074.795 3033.756 3040.709 3065.885 2970.033 2975.197 2943.953 2924.881 2998.573 2888.322 2961.657 2981.710 2874.543 2935.235 2883.154 2923.978 2888.258 2896.327 , 2896.650 2915.382 2909.653 2894.507 2902.094 2856.035 2873.163 2850.467 2813.298 2833.638 2829.709 2799.368 2779.334 2759.984 2780.562 2790.307 2833.358 2782.505 2787.739 2775.174
implicit-cache, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:13:52 CEST 2020, 3389.664 475.248 364.936 312.346 267.583 251.870 212.480 184.420 148.968 132.673 119.562 119.442 114.947 115.161 117.988 112.451 117.796 110.534 111.548 109.678 104.344 106.340 102.718 101.587 103.293 100.165 101.638 99.495 100.189 98.634 , 96.922 101.027 96.401 99.401 94.637 96.481 94.410 93.294 94.716 93.790 95.117 92.118 93.573 92.592 93.894 90.730 90.957 91.211 91.114 90.944
implicit-scope-loop, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:15:10 CEST 2020, 3485.275 512.434 382.034 310.612 269.538 242.175 207.339 176.770 145.945 137.810 130.650 131.766 124.716 125.729 127.704 123.108 120.155 120.185 116.531 116.779 112.282 111.660 110.941 109.141 110.341 107.589 105.651 105.409 104.938 106.361 , 101.256 101.207 104.617 102.303 101.390 98.841 102.131 98.140 96.616 100.657 97.388 98.234 95.669 98.024 96.712 95.188 96.091 94.591 95.576 94.176
inductive-implicits, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:17:12 CEST 2020, 7204.823 3219.445 2471.157 2338.692 2177.653 2220.261 2067.014 2050.976 2028.151 2007.103 1956.240 1940.683 1964.984 1907.077 1885.443 1878.347 1870.046 1840.915 1828.814 1819.697 1809.363 1829.782 1801.682 1815.560 1800.696 1957.857 1793.826 1805.548 1809.289 1802.458 , 1798.892 1806.003 1797.203 1795.693 1795.655 1787.495 1785.450 1774.928 1778.105 1779.266 1772.556 1775.117 1767.159 1768.285 1761.499 1767.319 1772.289 1764.273 1760.782 1760.560
i1535, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:18:31 CEST 2020, 3861.980 643.437 478.317 388.957 320.956 273.417 259.172 224.279 196.790 178.530 157.847 147.854 140.486 134.834 139.422 151.791 146.794 143.454 140.190 143.099 136.299 137.055 137.017 128.195 128.283 126.988 123.330 122.309 123.834 118.329 , 116.330 118.890 111.781 112.626 116.551 110.615 111.271 113.110 108.504 108.617 111.679 105.970 108.711 103.525 102.587 105.829 101.386 103.474 105.040 102.899
i1687, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:19:49 CEST 2020, 3374.216 455.255 344.067 288.942 241.859 209.524 172.189 140.192 127.072 116.346 117.660 112.358 111.282 112.702 110.118 110.063 106.668 104.892 105.241 100.689 103.968 99.454 100.828 98.449 98.189 99.285 97.552 97.325 94.936 96.718 , 96.276 95.375 93.221 94.259 92.995 92.777 93.510 91.600 92.061 91.409 92.266 91.387 90.249 88.112 90.086 88.746 89.285 89.042 88.125 90.580
empty-class, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:21:04 CEST 2020, 2741.462 228.901 150.205 121.765 106.122 86.330 76.166 70.077 60.936 58.928 57.154 57.656 57.691 55.723 55.458 55.166 52.812 55.088 52.328 52.070 51.763 51.034 49.770 49.703 49.798 49.325 49.349 48.364 48.571 47.380 , 49.627 47.375 47.853 47.013 48.147 46.350 47.489 46.316 47.063 46.534 45.916 46.468 46.384 46.436 46.048 46.111 45.988 45.824 45.960 45.255
empty-object, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:22:19 CEST 2020, 2835.187 266.779 173.050 133.763 107.707 87.258 78.052 72.831 67.340 66.074 63.475 65.661 63.957 64.680 62.195 63.679 59.878 59.952 58.536 56.945 57.205 56.580 55.255 54.437 54.616 53.440 53.850 52.088 53.016 51.470 , 51.761 51.092 52.214 50.237 50.971 50.080 50.865 49.931 50.264 50.160 49.659 50.033 49.947 49.566 48.994 49.667 49.156 49.272 48.674 49.126
empty-file, 8935, 2020-05-10T17:19:08Z, d35caba, Sun May 10 20:23:33 CEST 2020, 2202.014 158.851 102.066 71.532 59.069 50.264 45.158 43.003 41.869 40.806 39.922 39.515 37.950 36.886 36.066 35.151 34.652 34.726 34.322 34.114 33.488 33.448 33.584 33.195 33.544 32.976 33.118 32.867 32.456 32.800 , 32.675 32.514 32.704 32.188 32.595 32.536 32.051 32.178 32.573 31.970 32.142 32.111 31.876 31.903 32.026 31.705 32.074 31.880 31.668 32.042
