dotty, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 16:46:57 CEST 2020, 84025.689 46773.722 40123.893 38981.257 37098.160 36941.412 37241.965 36365.309 36244.899 37221.046 36238.150 36252.902 36673.432 36200.000 37529.945 35997.311 35970.015 36237.183 35858.189 37322.177 35708.654 37207.041 35966.812 37310.616 35716.822 37448.691 35817.343 37328.561 35912.030 36969.579 , 35901.886 36776.853 35825.090 36794.670 35817.410 36884.271 35830.791 36679.116 36037.063 36499.404 35770.904 36585.394 35884.634 36318.167 35921.371 36357.021 37544.769 35867.147 36194.817 37331.871
re2s, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 16:49:36 CEST 2020, 13846.672 5883.518 4587.042 3829.503 3367.776 3073.235 2906.891 2760.901 2691.202 2643.282 2545.723 2519.960 2455.376 2441.958 2395.807 2416.475 2350.305 2382.821 2350.100 2291.040 2290.413 2360.706 2288.764 2277.436 2225.116 2364.567 2222.276 2271.941 2205.603 2271.213 , 2203.890 2253.538 2199.211 2245.471 2185.078 2219.535 2190.056 2227.950 2183.320 2250.126 2240.688 2181.597 2212.397 2179.829 2200.272 2255.875 2167.231 2209.179 2156.285 2189.706
scalap, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 16:51:58 CEST 2020, 14268.060 5251.884 4070.608 3584.984 3357.279 2975.426 2630.954 2561.301 2455.192 2315.483 2330.447 2289.504 2207.954 2196.602 2072.534 2082.902 2024.856 1997.135 2025.159 1917.957 1905.576 1905.858 1869.354 1852.399 1866.400 1834.433 1816.382 1825.363 1776.081 1776.913 , 1815.383 1746.251 1793.939 1719.288 1776.471 1778.743 1738.732 1722.158 1822.192 1733.933 1695.190 1725.394 1696.037 1711.527 1741.043 1663.476 1681.462 1662.742 1654.803 1673.734
stdlib213, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:13:50 CEST 2020, 51574.878 28792.124 23361.584 21274.838 22169.505 20133.893 19738.385 19548.022 19447.351 19632.649 19177.987 19157.626 19156.311 20478.924 19186.882 18920.630 18984.755 20240.657 19098.121 18989.752 19013.531 20261.002 19077.800 19018.552 18884.526 20114.052 18998.868 18902.839 18873.051 19699.918 , 18956.230 18952.397 18914.647 19401.733 18890.597 18949.778 18804.540 20263.740 18816.679 18888.599 19226.762 18877.462 18892.532 20277.434 18981.460 18966.163 20254.006 19002.637 18859.314 20235.837
power-macro-power-inlined-1, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:15:29 CEST 2020, 3172.372 297.865 200.903 150.479 126.017 104.140 97.300 96.558 87.577 85.670 82.520 83.004 78.098 92.132 77.254 73.824 73.408 70.841 70.061 67.694 69.851 66.257 67.343 65.251 63.917 64.296 62.891 63.198 61.989 62.505 , 62.748 62.311 60.051 61.605 60.657 60.760 59.831 60.602 59.288 59.515 58.755 59.670 58.631 59.438 58.311 59.357 57.941 59.407 58.122 58.955
power-macro-power-inlined-1k, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:17:16 CEST 2020, 4939.410 1160.984 756.632 615.506 541.445 475.399 386.551 338.889 312.001 274.832 276.162 254.427 246.413 237.986 279.938 221.412 218.545 209.337 206.859 203.894 202.321 198.493 193.433 194.169 191.389 198.125 191.168 191.320 188.428 190.825 , 186.554 191.613 184.997 192.008 187.923 188.450 185.319 183.747 187.111 184.146 185.900 182.908 186.560 181.178 182.706 180.619 184.212 181.712 183.858 180.985
quote-string-interpolation-matching, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:19:13 CEST 2020, 5083.549 1504.538 1218.381 1034.777 935.445 771.305 706.451 686.113 691.102 683.641 672.485 676.091 657.692 664.168 664.121 656.087 662.852 656.347 650.274 655.427 656.687 661.849 662.359 651.932 659.094 670.008 646.098 656.064 654.496 648.856 , 648.241 643.451 648.604 648.188 644.093 647.285 648.648 641.846 644.291 636.044 640.814 640.648 632.031 638.610 642.074 639.374 639.538 636.720 636.512 637.716
i1535, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:20:31 CEST 2020, 4009.391 679.445 448.111 354.242 304.237 262.575 220.966 194.398 177.550 165.128 160.386 153.926 154.289 148.169 150.606 147.177 141.231 141.798 135.569 131.155 132.710 129.985 129.391 127.746 124.618 126.945 122.540 119.985 125.428 120.530 , 121.586 118.047 116.874 118.357 113.404 116.925 113.022 110.883 114.101 109.805 118.324 108.127 111.663 108.531 107.028 111.349 106.801 108.249 107.456 108.695
i1687, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:21:47 CEST 2020, 3311.578 415.422 282.895 212.244 175.004 139.687 111.308 111.943 103.842 100.818 102.026 99.733 100.421 94.776 90.503 93.728 90.316 89.658 86.560 84.445 84.904 82.596 84.466 81.134 82.566 80.277 83.781 80.638 78.674 79.851 , 78.604 79.798 76.933 78.444 77.063 78.137 76.595 77.424 74.723 77.296 74.892 74.957 74.845 74.832 74.062 74.923 73.232 73.497 74.084 73.549
empty-class, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:23:00 CEST 2020, 2524.302 117.864 70.533 54.266 48.728 43.194 38.993 36.470 36.003 34.136 34.363 32.049 31.018 30.595 29.251 29.220 28.956 27.925 26.836 27.498 26.323 26.265 26.165 26.403 25.932 25.679 25.702 25.545 25.436 24.908 , 24.948 24.580 24.969 24.670 24.663 24.467 24.191 24.453 24.430 24.418 24.010 24.183 23.957 24.037 24.161 23.700 24.049 23.948 24.009 23.883
empty-object, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:24:15 CEST 2020, 2807.292 220.673 139.414 103.382 88.466 73.826 67.885 63.787 59.092 57.710 57.267 58.931 55.410 55.675 52.388 50.897 49.789 50.517 49.456 47.764 49.101 46.092 46.061 45.969 45.392 44.080 44.911 43.823 44.731 43.202 , 44.013 43.224 43.696 42.224 42.910 42.118 42.481 42.045 41.242 42.117 41.110 41.813 41.235 41.507 41.728 41.497 40.907 41.309 41.262 40.955
empty-file, 9875, 2020-09-25T14:08:29Z, 04dacad, Fri Sep 25 17:25:27 CEST 2020, 1658.024 37.432 17.735 13.402 11.993 11.686 11.797 11.270 10.999 10.314 9.932 9.565 9.228 9.117 8.861 8.693 8.619 8.502 8.529 8.667 8.565 8.345 8.296 8.204 8.166 8.093 8.231 8.111 7.998 7.923 , 7.939 8.032 7.958 7.940 7.889 7.850 7.914 7.922 7.888 7.871 7.919 7.890 7.876 7.903 8.263 7.889 7.996 8.123 8.027 8.015
