dotty, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:10:12 CEST 2019, 83955.666 50363.580 44923.768 43717.254 41761.918 40887.010 42115.556 40605.426 40603.167 41741.347 40258.062 40148.277 41571.924 40326.448 40022.971 40978.863 40083.099 39892.823 40639.250 39904.020 39954.591 40674.692 39897.933 39908.404 40380.763 39883.285 39760.625 40600.772 40021.765 39910.298 , 40369.266 Iteration   2: #
scala-library, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:15:20 CEST 2019, 21587.252 9527.832 7755.694 7357.971 6859.691 6209.249 5889.855 5680.619 5483.266 5469.486 5329.407 5335.397 5279.617 5223.923 5206.018 5157.061 5113.161 5116.622 5112.740 5081.800 5069.268 5069.185 5037.607 5056.678 5007.589 5048.998 5030.013 5008.299 5051.327 5071.410 , 4964.131 4945.793 4956.330 4967.706 4980.044 4954.104 4956.580 4956.355 4967.223 4963.389 4932.764 5014.227 4948.899 4949.847 4922.562 4937.749 4944.300 4920.070 4896.916 4917.376
re2s, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:18:37 CEST 2019, 14228.157 7431.097 6147.179 4926.840 4581.411 4185.772 3669.155 3474.653 3313.716 3240.813 3220.391 3220.497 3342.411 3067.717 3017.342 3025.159 2984.832 2959.360 2963.153 2927.583 2929.372 2913.646 2900.614 2894.551 2871.749 2884.623 2891.498 2880.457 2855.485 2824.082 , 2853.849 2843.011 2837.143 2832.715 2807.763 2852.735 2835.737 2829.479 2822.107 2794.332 2843.691 2845.859 2830.868 2808.303 2791.483 2829.889 2825.217 2843.696 2829.008 2811.433
implicit-cache, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:19:58 CEST 2019, 3381.561 462.165 336.190 282.228 241.738 220.700 179.709 146.789 133.006 121.227 114.414 115.788 110.624 111.713 108.008 109.287 108.288 105.453 108.298 104.845 102.619 103.061 99.838 103.563 100.024 97.747 99.378 97.493 97.723 96.208 , 97.763 95.077 94.692 95.702 93.802 94.530 91.733 94.304 91.964 92.681 90.364 91.373 92.458 90.497 91.131 89.693 91.208 89.300 89.737 88.276
implicit-scope-loop, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:21:19 CEST 2019, 3470.869 506.012 388.941 312.538 260.994 224.343 192.080 159.543 138.695 133.195 123.301 121.518 118.157 121.104 117.018 113.518 117.259 111.398 113.102 112.797 108.492 106.341 107.407 105.633 106.094 104.504 102.777 104.402 104.392 103.089 , 101.791 101.366 100.425 97.986 100.792 97.047 99.659 96.828 96.944 98.837 95.701 98.944 95.580 97.564 94.254 95.566 94.307 93.459 95.046 94.962
inductive-implicits, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:23:20 CEST 2019, 6586.431 2729.612 2355.898 2191.743 2040.561 2015.711 1984.078 1972.378 1929.319 1908.208 1884.783 1866.225 1873.952 1838.508 1830.959 1814.748 1814.996 1776.997 1777.224 1755.713 1745.617 1772.615 1726.182 1728.899 1728.753 1739.355 1734.831 1711.104 1714.523 1720.293 , 1710.076 1722.655 1728.500 1713.331 1706.738 1701.590 1697.234 1710.710 1703.967 1696.732 1694.883 1691.524 1711.500 1695.140 1694.292 1681.237 1685.800 1704.956 1680.395 1677.205
i1535, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:24:41 CEST 2019, 3759.080 616.112 427.780 340.933 284.051 251.090 223.626 193.525 162.367 147.990 140.517 131.151 123.976 118.260 117.074 118.098 117.224 116.724 122.408 117.531 113.415 112.308 113.098 111.316 111.204 110.090 106.243 104.034 104.316 101.114 , 100.190 100.768 97.638 101.242 96.986 95.339 97.658 94.997 96.453 95.626 93.832 91.385 93.871 91.858 95.686 92.411 90.185 91.570 91.138 91.497
i1687, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:26:01 CEST 2019, 3103.760 385.845 273.756 216.576 168.743 132.571 103.889 91.720 85.496 80.367 80.076 80.691 79.013 78.213 77.258 75.203 76.075 73.189 71.544 71.687 70.727 69.522 68.985 69.243 68.812 67.410 67.257 66.312 64.729 64.811 , 64.597 63.796 64.262 63.352 63.919 62.784 62.414 63.570 61.696 64.324 61.839 61.811 62.021 61.496 62.278 60.959 61.641 60.869 60.946 61.643
vector, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:29:54 CEST 2019, 6917.167 1844.826 1514.054 1350.380 1254.471 1200.455 1097.132 1027.385 953.897 876.263 1063.671 845.520 816.715 845.558 821.236 819.044 749.051 709.557 684.433 646.767 7193.716 2005.739 1668.576 1466.175 1367.486 1292.471 1167.003 1112.253 1056.668 959.882 975.240 846.081 811.643 885.344 843.807 782.617 725.864 708.137 682.543 677.559 6874.628 1966.705 1549.842 1343.127 1248.230 1173.718 1053.640 958.892 895.083 864.681 1060.744 878.482 837.527 804.765 743.241 705.412 679.398 655.100 650.032 629.954 , 645.255 642.234 645.025 616.196 609.922 601.673 593.897 575.928 568.655 562.239 561.793 550.501 548.725 539.168 543.214 537.774 533.638 520.153 513.861 524.013 513.777 515.272 506.865 520.503 506.257 502.655 503.063 505.534 506.777 498.719 658.359 645.632 640.295 626.073 611.392 607.852 604.334 580.475 572.594 568.819 571.569 551.514 545.962 546.438 546.096 535.346 535.083 528.863 525.741 520.627 516.970 524.552 527.681 514.295 507.955 505.715 509.109 516.327 503.750 501.049 624.233 620.242 621.900 604.699 592.209 587.306 592.597 568.295 567.967 555.711 557.023 554.192 546.157 536.593 556.249 524.636 529.965 513.521 524.671 519.695 512.294 505.187 517.873 508.533 511.342 499.601 519.016 504.528 500.459 500.276
empty-class, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:31:13 CEST 2019, 2738.823 226.343 140.082 111.996 92.945 78.758 72.235 64.601 58.471 56.005 55.105 55.368 54.640 54.843 53.166 53.704 51.604 51.164 51.462 49.838 49.859 48.866 49.922 48.745 48.264 47.514 47.894 46.381 47.200 48.253 , 46.866 46.123 46.379 45.660 46.372 45.853 46.245 45.145 45.721 44.841 45.394 45.143 45.359 44.798 44.794 44.464 46.331 44.665 44.635 43.969
empty-object, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:32:32 CEST 2019, 2854.053 264.170 169.253 133.347 112.502 94.006 81.957 73.823 66.490 63.574 61.850 60.439 58.853 57.790 60.037 57.773 57.240 56.299 55.598 55.487 55.317 54.994 54.141 53.228 51.856 53.172 51.977 51.665 51.034 50.157 , 51.073 49.704 50.568 49.246 49.566 48.677 49.242 48.708 49.649 48.097 48.781 48.235 47.914 47.590 48.462 47.839 48.326 47.803 47.949 47.544
