dotty, 3222, 2017-10-01T14:24:03Z, 196c23c, 37623.208, Sun Oct  1 16:47:57 CEST 2017, 81761.929 45543.571 39825.839 39497.057 38503.989 38113.437 38018.959 38003.301 37967.757 37838.183 , 37871.385 37867.964 37786.721 37742.181 37867.928 37647.991 37863.670 37624.779 37331.158 37785.945 37484.310 37596.209 37823.905 37621.637 37460.594 37436.463 37314.536 37417.802 37342.519 37342.949
tests/scala-library, 3222, 2017-10-01T14:24:03Z, 196c23c, 6392.859, Sun Oct  1 16:51:45 CEST 2017, 25961.692 11989.953 9603.271 8169.995 7398.102 7018.586 6790.484 6805.079 6752.358 6943.487 , 6605.142 6574.975 6516.440 6563.454 6653.724 6479.074 6425.278 6388.667 6383.872 6393.596 6365.074 6385.940 6371.050 6365.048 6343.639 6422.343 6412.563 6352.408 6388.784 6392.122
tests/implicit_cache.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 124.054, Sun Oct  1 16:52:21 CEST 2017, 3004.483 520.043 410.217 469.688 288.154 273.465 187.835 167.098 158.230 177.934 , 137.858 137.128 132.377 127.735 128.743 132.418 132.762 122.918 127.165 125.190 127.217 118.264 117.121 119.707 119.407 115.908 115.557 118.088 116.575 114.925
tests/implicit-scope-loop.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 130.331, Sun Oct  1 16:52:57 CEST 2017, 3012.188 556.280 430.791 365.058 285.040 261.981 208.786 182.701 167.315 163.115 , 196.332 162.473 134.792 136.056 135.871 141.452 130.508 131.790 128.954 129.962 131.354 126.690 122.239 123.304 130.154 153.058 128.742 119.291 120.328 123.875
tests/i1535.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 165.5635, Sun Oct  1 16:53:35 CEST 2017, 3510.006 1027.235 596.578 512.067 435.265 393.351 346.109 364.478 333.676 316.214 , 251.657 212.579 264.305 226.854 174.141 177.633 166.376 186.687 161.448 159.509 168.143 162.240 164.751 163.620 155.338 173.061 159.765 161.846 154.919 152.785
tests/i1687.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 103.3095, Sun Oct  1 16:54:11 CEST 2017, 3037.153 461.081 427.461 319.048 277.917 236.090 185.939 148.253 185.666 154.267 , 125.801 120.682 108.907 108.353 107.704 107.045 104.129 105.084 105.432 102.340 102.863 100.094 101.693 102.965 103.654 102.604 99.869 98.641 99.003 97.246
tests/Vector.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 622.7985, Sun Oct  1 16:58:00 CEST 2017, 7069.119 3040.529 1970.655 1606.043 1666.883 1311.134 1228.322 1062.497 939.962 999.100 1059.642 787.325 756.885 727.727 735.928 760.786 750.255 705.953 689.529 778.901 7831.391 3143.711 1891.242 1673.193 1638.475 1172.170 1202.971 1179.667 1099.058 1393.326 1375.640 1216.985 1054.437 779.163 859.928 721.566 737.464 713.413 736.004 706.210 7461.726 2369.552 1956.389 1785.400 2065.555 1939.952 1631.337 1171.680 1052.514 1598.127 1351.566 1002.289 1208.806 847.702 839.530 754.793 712.146 704.777 705.514 728.319 , 772.969 683.470 730.513 649.834 640.495 678.101 643.684 652.534 623.184 617.618 627.095 677.989 638.682 631.900 617.805 606.340 613.518 607.613 596.036 602.293 597.900 599.798 606.744 603.258 588.268 590.883 586.737 605.543 588.463 590.961 775.619 656.511 678.493 694.333 664.205 662.709 651.648 723.428 644.437 649.066 633.598 612.389 625.634 614.170 611.389 622.413 611.148 602.120 663.038 603.583 600.992 601.748 600.315 600.519 603.988 614.944 596.601 595.771 594.127 602.083 685.941 690.404 694.338 677.188 666.460 665.181 653.955 659.425 665.450 656.851 655.728 632.368 625.697 630.020 667.075 626.402 624.792 622.403 662.510 646.017 618.211 604.978 608.681 610.943 607.610 621.862 598.330 597.859 598.368 604.743
tests/empty-class.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 81.3055, Sun Oct  1 16:58:34 CEST 2017, 2537.640 370.815 338.826 262.512 200.904 157.402 118.765 102.448 98.095 86.996 , 85.173 84.570 84.935 96.498 88.648 84.206 79.634 82.126 92.025 81.218 81.393 80.185 77.779 78.545 77.240 79.690 77.258 77.182 76.627 83.480
tests/empty-object.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 82.1265, Sun Oct  1 16:59:10 CEST 2017, 2596.378 442.539 252.215 215.972 202.658 154.189 136.367 136.355 112.416 91.962 , 88.932 86.031 90.146 85.680 82.012 82.897 84.295 81.756 80.877 81.402 82.884 83.946 80.511 84.611 82.241 81.679 81.680 78.464 79.893 79.687
tests/empty-file.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 63.6425, Sun Oct  1 16:59:44 CEST 2017, 2052.732 262.288 238.431 169.666 167.531 148.955 96.582 86.462 78.387 69.299 , 72.461 67.271 66.352 66.395 65.839 65.122 72.962 65.402 63.532 71.480 62.508 63.208 63.727 63.216 63.187 63.558 62.369 62.411 62.114 61.948
tests/patmatexhaust.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 323.451, Sun Oct  1 17:03:48 CEST 2017, 5593.221 2185.615 1503.115 1354.629 1049.708 825.824 1035.529 705.444 716.419 706.415 621.918 503.162 680.258 647.592 462.743 419.845 405.685 428.420 373.504 381.149 6271.201 1914.878 1412.300 1255.453 1322.061 1094.369 835.637 980.389 910.820 811.548 689.917 622.364 668.133 529.871 438.636 524.888 424.237 396.935 385.112 377.766 5390.567 2175.546 1587.508 1383.170 1139.246 1166.672 855.936 944.363 856.040 757.723 528.427 566.005 506.160 468.199 455.670 586.088 424.729 424.184 387.776 376.643 , 370.456 364.210 362.861 357.603 366.899 415.711 339.755 349.974 338.230 343.840 336.110 346.838 342.823 331.138 353.354 351.366 325.092 322.897 325.736 329.281 318.384 324.454 313.663 316.402 316.923 324.741 315.089 315.407 312.749 313.116 323.922 317.085 319.638 313.016 302.257 309.126 301.125 305.850 306.147 305.708 387.499 372.712 369.731 369.012 361.806 357.407 351.723 346.563 353.088 340.715 356.335 337.007 331.323 330.443 327.049 384.513 322.392 321.528 319.757 319.053 348.943 321.476 322.002 325.283 319.045 319.381 313.124 316.497 312.610 311.649 322.628 334.106 327.489 312.577 304.154 311.236 303.675 303.446 304.169 303.510 380.481 373.514 509.065 464.775 434.105 366.475 352.772 349.891 335.395 336.088 372.198 333.895 325.723 326.196 327.642 327.526 322.980 322.672 321.861 320.582 319.942 314.196 316.837 315.286 313.916 309.418 310.793 308.936 309.819 359.593 308.943 299.803 300.863 306.746 343.047 301.273 303.980 317.474 301.834 298.308
