dotty, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 34869.33, Thu Oct  5 20:15:37 CEST 2017, 81430.696 40997.136 37343.990 36472.118 36465.704 36211.840 35458.210 35328.471 35491.271 35739.844 , 36072.638 35170.758 35061.349 35354.674 36112.423 34769.780 35001.552 34968.880 36063.882 34551.652 34474.987 34608.848 35765.036 34470.315 34433.310 34729.890 35611.270 34351.772 34466.878 34614.003
tests/scala-library, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 5947.678, Thu Oct  5 20:19:13 CEST 2017, 27541.762 12475.265 8103.386 6871.898 7029.087 6570.595 6327.983 6318.265 6594.797 6256.473 , 6285.207 6293.460 6003.948 6021.733 5970.572 5954.885 5966.975 5940.471 5957.567 5963.278 5893.966 5981.853 5905.494 5902.704 5894.081 5922.684 5885.686 5866.234 5883.645 5849.666
tests/implicit_cache.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 124.101, Thu Oct  5 20:19:51 CEST 2017, 2783.181 521.273 420.769 342.670 300.181 323.187 214.824 186.072 159.778 178.989 , 144.286 140.005 135.965 128.169 131.581 126.010 123.766 124.436 121.747 127.994 133.544 120.685 118.583 115.954 116.947 114.560 112.782 116.317 169.213 118.974
tests/implicit-scope-loop.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 122.5815, Thu Oct  5 20:20:28 CEST 2017, 3062.745 686.918 542.916 378.009 315.244 263.941 228.342 167.801 178.585 176.431 , 142.073 137.594 158.195 139.449 129.319 126.148 125.523 129.687 121.969 120.610 123.194 118.891 119.470 118.287 120.070 143.920 115.166 116.349 115.497 117.219
tests/i1535.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 151.853, Thu Oct  5 20:21:06 CEST 2017, 3322.212 711.861 603.669 500.127 477.022 410.756 352.812 310.311 201.186 190.915 , 187.139 174.326 161.093 158.597 156.655 154.514 150.999 151.394 160.437 147.696 151.265 143.449 144.909 146.999 153.260 142.398 151.076 138.590 152.312 174.629
tests/i1687.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 98.532, Thu Oct  5 20:21:44 CEST 2017, 2684.274 446.895 355.788 325.298 322.487 188.973 186.091 148.436 115.255 128.283 , 108.244 113.495 104.511 104.111 116.021 103.606 103.358 99.487 96.384 97.675 99.155 103.870 97.909 96.162 93.930 93.795 96.123 92.623 93.637 93.308
tests/Vector.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 605.502, Thu Oct  5 20:25:31 CEST 2017, 6584.890 2115.951 2448.600 1930.966 1936.385 1756.771 1473.379 1125.065 1038.438 968.745 1053.440 847.359 838.337 774.721 736.322 745.681 710.241 690.682 671.376 763.923 6867.501 2600.787 1951.035 1678.610 1961.079 1373.464 1284.364 1250.688 1355.421 1003.857 871.334 968.984 747.603 737.425 747.514 706.119 709.229 826.842 688.303 680.149 7505.699 2149.461 1725.292 1470.850 1301.955 1223.041 1128.921 1055.975 977.956 1179.440 1167.331 867.743 858.931 748.216 718.645 739.606 677.949 680.551 665.605 669.926 , 649.843 653.152 655.751 653.219 633.276 644.211 702.804 661.504 613.936 626.940 612.460 609.764 614.397 607.001 600.659 604.128 613.753 605.359 602.127 603.896 598.398 594.200 604.313 597.341 590.570 590.197 619.502 603.650 590.190 598.958 657.770 658.879 645.344 659.342 631.202 628.598 648.622 614.272 604.592 602.784 646.040 648.383 595.488 635.556 597.568 597.040 589.907 607.655 588.278 585.803 655.348 616.545 583.913 586.950 596.287 575.438 579.051 591.097 577.092 573.108 659.681 724.285 688.205 641.451 635.503 623.538 698.335 612.434 615.972 627.614 606.719 634.005 589.818 604.936 590.844 590.755 631.429 592.016 664.313 576.306 605.645 578.799 578.988 599.000 568.551 593.484 569.325 584.161 566.565 568.919
tests/empty-class.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 77.739, Thu Oct  5 20:26:06 CEST 2017, 2352.633 300.708 256.300 261.505 234.714 204.105 128.019 104.193 96.546 85.112 , 83.780 84.216 82.154 81.531 80.004 79.075 78.368 78.474 77.417 78.061 76.399 76.203 75.081 75.565 82.240 77.339 75.766 76.658 74.832 75.466
tests/empty-object.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 80.0685, Thu Oct  5 20:26:41 CEST 2017, 2554.784 304.261 244.377 193.454 170.888 157.647 174.322 110.244 100.140 94.498 , 84.816 85.995 82.203 80.096 82.794 81.589 81.996 79.335 80.487 79.502 80.406 79.259 78.577 80.041 78.838 78.722 77.461 78.346 76.862 94.348
tests/empty-file.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 62.5645, Thu Oct  5 20:27:15 CEST 2017, 1958.824 255.076 226.133 176.537 140.238 127.887 98.004 85.465 76.583 71.007 , 66.178 65.609 63.929 64.656 63.308 65.325 62.889 63.760 63.115 61.583 63.106 61.389 62.240 60.939 62.055 60.528 61.796 61.806 60.646 61.564
tests/patmatexhaust.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 332.3465, Thu Oct  5 20:31:16 CEST 2017, 5253.890 1880.607 1816.085 1525.176 916.884 1161.610 1087.305 1056.251 948.859 883.754 807.215 774.844 719.805 594.374 453.241 434.795 417.149 415.250 433.584 382.781 5859.681 2160.292 1510.539 1334.238 1194.276 1110.437 902.311 752.387 909.050 811.837 763.758 635.415 456.889 466.759 537.671 496.593 398.813 375.207 376.727 357.324 5662.467 1988.886 1748.966 1477.104 1173.142 1225.066 1156.895 1060.832 960.747 651.360 593.414 636.512 631.560 462.344 446.540 434.764 419.959 402.815 385.877 385.995 , 380.851 449.043 420.290 382.205 375.579 372.775 455.878 354.265 354.402 351.720 345.419 344.084 343.044 353.024 376.990 349.234 374.223 339.040 330.148 334.831 326.284 389.906 326.797 315.725 314.517 339.973 320.635 321.823 318.695 316.161 311.953 316.214 323.886 307.502 315.664 310.919 313.357 313.192 303.313 305.980 401.338 393.847 401.498 355.398 375.919 359.730 339.415 351.294 338.935 372.708 342.142 330.891 341.619 338.888 330.535 329.652 384.192 327.630 323.806 360.672 320.405 318.285 308.662 304.473 314.229 312.962 304.796 323.755 303.951 304.734 317.144 300.552 305.199 299.953 299.452 309.842 300.189 293.041 296.278 292.122 373.073 368.799 369.806 428.702 431.690 348.099 345.023 335.745 334.668 335.976 389.392 408.267 354.406 363.449 339.182 382.570 421.226 354.243 333.802 318.882 321.246 312.670 320.351 305.073 308.954 339.464 376.009 422.820 355.609 344.725 318.314 301.329 316.881 299.324 301.941 307.864 295.197 308.866 292.548 291.284
