dotty, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 33737.04, Thu Oct 26 21:10:31 CEST 2017, 75377.741 41688.811 36523.800 36049.211 36855.163 33976.863 34480.456 34312.798 34365.653 34654.223 , 33675.240 33871.685 34081.881 34606.686 33663.334 33692.315 34061.987 34557.234 33359.965 33974.570 33781.765 34493.563 33116.279 33369.934 33611.315 34334.897 33259.047 33267.889 33601.941 34289.846
tests/scala-library, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 5697.289, Thu Oct 26 21:13:56 CEST 2017, 24459.255 11092.180 8601.346 6799.822 6465.853 6116.812 6032.849 6054.733 5978.070 5888.165 , 5857.028 5812.913 5777.712 5759.318 5756.529 5716.363 5771.019 5700.759 5773.776 5693.819 5669.804 5729.139 5686.507 5637.022 5582.176 5667.287 5659.067 5627.868 5615.911 5654.663
tests/implicit_cache.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 120.0415, Thu Oct 26 21:14:33 CEST 2017, 2798.069 511.989 430.859 461.524 405.463 352.489 227.082 160.657 153.541 154.252 , 138.879 131.933 136.093 124.126 145.256 129.684 123.180 119.369 119.899 120.184 118.129 121.932 116.267 127.202 113.904 113.210 114.843 112.799 113.636 116.088
tests/implicit-scope-loop.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 124.9605, Thu Oct 26 21:15:09 CEST 2017, 2871.997 733.275 572.235 509.903 449.974 385.008 308.340 182.401 168.034 157.250 , 141.684 135.464 134.659 128.958 128.521 125.808 131.148 126.135 123.550 128.049 126.402 122.005 124.113 124.040 122.935 118.055 119.313 114.851 116.716 112.777
tests/i1535.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 149.148, Thu Oct 26 21:15:47 CEST 2017, 3331.455 843.352 687.780 544.171 435.978 264.359 242.664 212.390 210.207 220.155 , 217.681 161.068 176.419 160.988 163.399 150.744 152.851 147.780 146.694 150.516 144.006 142.221 145.347 154.961 143.183 141.717 137.833 139.813 161.671 137.660
tests/i1687.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 98.102, Thu Oct 26 21:16:26 CEST 2017, 2704.794 627.258 413.879 319.677 232.512 204.735 147.028 122.445 118.329 109.217 , 110.774 104.069 107.156 101.594 100.232 102.558 122.556 105.526 96.628 95.838 98.256 95.997 101.043 94.890 97.646 97.948 97.081 92.921 95.478 94.868
tests/Vector.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 558.107, Thu Oct 26 21:20:03 CEST 2017, 7546.212 2779.464 2166.020 1582.093 1143.034 1102.748 962.418 866.850 837.019 805.209 1105.818 855.260 701.884 653.359 717.251 659.034 627.964 618.081 636.411 645.850 6768.426 2976.301 2331.020 1929.626 1683.915 1292.466 938.639 895.528 826.727 742.476 723.708 710.109 691.986 665.403 656.333 656.306 625.549 637.929 666.929 630.313 6594.263 2027.866 1676.520 1475.588 1211.451 1531.001 1449.982 1456.140 1191.944 1276.124 1072.104 1159.795 804.104 718.415 705.224 682.031 655.841 651.265 663.882 751.881 , 625.592 591.984 677.860 579.209 571.513 602.063 592.189 568.245 558.466 560.519 572.079 569.589 654.512 598.635 573.018 582.625 548.664 560.896 542.435 543.802 540.382 555.793 670.763 533.496 547.814 532.892 536.617 533.413 542.525 528.224 596.149 599.542 595.105 581.015 577.056 578.372 577.699 563.477 561.596 561.750 581.015 611.364 577.731 557.368 601.867 553.947 546.198 573.250 538.384 540.833 547.108 564.427 537.712 532.742 539.261 555.036 567.883 541.258 540.410 539.719 691.891 603.643 649.246 623.794 585.440 582.712 572.047 563.090 558.118 575.999 545.038 546.312 544.903 549.567 543.443 544.763 558.096 544.276 545.655 541.318 553.177 529.890 531.126 531.534 546.174 531.960 526.666 547.029 534.088 525.793
tests/empty-class.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 77.964, Thu Oct 26 21:20:40 CEST 2017, 2453.955 413.282 338.229 274.664 234.219 173.747 144.211 113.308 98.008 95.978 , 86.207 86.466 85.741 81.172 81.857 80.414 80.410 79.633 87.193 76.724 78.344 76.473 77.239 77.129 76.597 77.584 76.752 75.889 76.014 74.858
tests/empty-object.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 81.421, Thu Oct 26 21:21:15 CEST 2017, 2457.099 308.173 230.567 207.031 178.086 137.297 137.229 103.619 88.032 86.293 , 83.456 84.503 93.906 88.026 84.187 81.472 82.969 81.370 85.232 85.947 82.440 78.955 81.165 78.945 80.666 77.781 80.082 77.392 78.514 77.493
tests/empty-file.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 63.2625, Thu Oct 26 21:21:49 CEST 2017, 2215.133 263.215 175.797 151.238 129.670 111.241 115.542 100.129 85.044 70.700 , 68.058 66.874 65.037 65.986 66.153 65.151 64.193 63.206 64.144 62.789 63.233 62.612 63.025 62.741 62.530 64.270 61.536 63.292 61.762 62.229
tests/patmatexhaust.scala, 3393, 2017-10-26T18:48:28Z, 32b4e1c, 296.7935, Thu Oct 26 21:25:46 CEST 2017, 5204.758 2096.769 1704.645 1398.910 1291.769 1145.469 894.669 852.252 692.091 533.018 682.948 654.660 517.557 569.741 533.323 456.324 408.488 360.852 361.177 357.923 5742.559 1927.947 1160.632 1186.485 1172.076 1168.790 1052.072 1011.191 843.649 764.235 725.427 623.144 555.422 625.675 584.173 510.628 378.825 403.434 373.994 342.850 5043.834 2150.973 1356.106 1083.167 961.307 943.364 970.328 840.913 544.539 697.926 662.424 642.009 610.880 577.846 560.623 528.743 386.207 360.145 349.265 343.024 , 342.346 338.747 352.325 417.675 327.054 340.316 322.612 319.080 310.548 314.467 304.837 304.322 313.010 307.122 300.357 305.201 301.480 296.906 316.708 297.957 290.620 296.494 303.947 291.057 295.112 286.961 288.675 311.757 293.035 284.537 290.929 283.228 285.881 280.246 280.367 285.872 282.255 279.363 282.009 280.874 355.633 347.679 334.061 328.694 338.085 330.397 321.403 329.789 338.266 308.418 312.839 303.937 307.187 307.157 304.421 296.017 303.073 294.659 295.057 304.997 296.681 288.183 296.936 291.808 307.856 285.227 285.743 289.278 283.755 287.709 289.761 284.284 285.007 285.069 278.398 280.218 283.662 275.738 274.895 277.140 341.460 325.818 354.717 343.305 322.817 313.901 317.598 310.783 308.939 350.246 319.141 305.823 298.858 299.663 299.496 292.052 292.388 311.774 345.153 293.726 292.248 292.963 293.932 311.898 286.324 334.498 295.607 285.363 290.984 288.797 279.650 280.249 283.040 281.728 273.094 286.159 275.528 275.039 282.762 276.533
