re2s, 8698, 2020-04-09T15:24:59Z, ba2b678, Thu Apr  9 17:33:52 CEST 2020, 14695.313 6783.619 5703.562 4469.434 3865.235 3601.617 3587.739 3335.505 3259.523 3095.289 2992.533 2991.695 2906.816 2868.083 2783.371 2814.949 2773.498 2750.479 2746.083 2753.238 2716.740 2714.908 2679.355 2661.362 2665.994 2652.527 2642.523 2641.097 2623.026 2648.538 , 2633.141 2617.499 2629.748 2634.572 2588.602 2621.309 2656.550 2644.119 2607.644 2612.422 2586.818 2572.426 2608.276 2599.636 2602.432 2593.783 2561.407 2583.908 2576.905 2625.608
empty-class, 8698, 2020-04-09T15:24:59Z, ba2b678, Thu Apr  9 17:35:07 CEST 2020, 2763.951 230.130 149.528 121.494 98.839 81.815 73.230 65.312 62.185 61.241 61.162 60.317 59.148 57.507 56.275 55.950 54.491 53.311 53.357 53.088 52.033 51.390 50.765 50.683 50.024 50.393 49.905 49.811 48.704 49.302 , 50.643 48.074 49.048 48.080 49.041 46.964 48.281 46.879 46.791 46.438 46.741 46.287 46.777 46.450 46.550 46.381 45.906 46.268 46.164 46.563
empty-object, 8698, 2020-04-09T15:24:59Z, ba2b678, Thu Apr  9 17:36:23 CEST 2020, 2848.392 271.806 186.669 148.485 122.994 101.482 85.021 75.680 69.675 66.829 64.830 64.454 64.388 63.731 63.834 60.810 60.589 59.777 59.814 58.060 57.417 57.004 58.057 55.954 55.183 55.621 54.938 54.686 53.707 53.221 , 52.038 52.888 51.478 53.161 51.178 52.719 51.063 51.827 51.282 51.417 51.062 50.311 51.197 50.182 50.199 50.025 50.534 50.100 49.872 49.370
empty-file, 8698, 2020-04-09T15:24:59Z, ba2b678, Thu Apr  9 17:37:37 CEST 2020, 2194.644 167.822 102.454 70.639 59.546 51.231 44.966 45.662 47.096 43.806 42.024 40.067 38.730 37.480 36.557 36.159 35.191 34.803 34.692 34.216 34.599 33.865 34.116 33.110 33.745 33.521 33.094 33.421 33.611 32.746 , 33.518 32.988 33.080 32.814 32.430 33.099 32.833 32.440 32.653 32.972 32.381 32.635 32.366 32.613 32.534 31.904 32.275 32.224 31.876 32.153
scalap, 8698, 2020-04-09T15:24:59Z, ba2b678, Thu Apr  9 17:40:27 CEST 2020, 14907.012 6049.432 4857.168 4310.105 4103.194 3661.729 3371.578 3306.576 3183.151 3081.816 3008.657 2890.349 2710.000 2657.348 2586.399 2579.726 2491.133 2488.081 2411.821 2366.997 2368.427 2354.836 2296.004 2330.870 2295.584 2284.666 2246.653 2261.460 2231.676 2244.094 , 2257.644 2198.889 2232.714 2196.565 2207.060 2179.187 2162.786 2164.204 2195.122 2161.199 2149.361 2158.093 2130.477 2142.717 2143.325 2101.646 2102.585 2096.198 2109.933 2147.510
dotty, 8698, 2020-04-09T16:31:39Z, ba2b678, Thu Apr  9 19:18:25 CEST 2020, 93745.136 57761.613 49958.458 49356.109 47359.530 46813.056 47148.790 46279.040 46050.549 47039.635 45654.796 45682.045 46257.844 45582.646 45441.624 45840.671 45122.599 45479.871 45801.451 45314.551 46654.711 45188.200 45285.806 45688.677 45256.133 46641.042 45152.379 46666.736 45052.671 46561.240 , 45233.755 46461.045 45090.710 46414.915 45163.065 46386.049 45166.690 46223.399 45221.767 45961.358 45119.146 45800.431 45133.201 45687.060 45160.691 45780.778 45284.692 45491.934 44872.561 45255.373
re2s, 8698, 2020-04-09T16:31:39Z, ba2b678, Thu Apr  9 19:21:27 CEST 2020, 15446.364 6710.751 5127.147 4416.297 3985.444 3626.297 3547.797 3338.236 3191.702 3039.615 2986.699 2947.799 2898.132 2837.531 2785.373 2791.037 2727.786 2711.875 2709.790 2717.304 2690.976 2702.024 2681.595 2657.163 2640.394 2616.108 2634.673 2606.103 2628.017 2609.581 , 2607.486 2596.323 2603.726 2594.505 2586.343 2607.408 2588.554 2600.418 2570.640 2576.393 2559.551 2554.598 2554.957 2589.315 2599.003 2551.190 2555.074 2547.277 2534.623 2542.228
implicit-cache, 8698, 2020-04-09T16:31:39Z, ba2b678, Thu Apr  9 19:22:44 CEST 2020, 3396.257 512.320 404.242 324.847 277.801 243.022 211.216 181.720 145.669 134.713 120.885 120.654 120.302 121.070 120.808 118.187 119.964 112.170 109.447 113.895 108.404 110.007 105.388 103.214 104.206 102.416 104.251 99.861 101.670 101.878 , 99.144 101.036 98.018 96.826 97.759 95.632 97.942 94.590 96.071 95.348 95.986 94.091 93.496 96.360 93.843 95.295 92.417 93.532 93.856 92.361
implicit-scope-loop, 8698, 2020-04-09T16:31:39Z, ba2b678, Thu Apr  9 19:24:02 CEST 2020, 3467.235 518.165 394.195 327.653 283.821 250.587 221.355 192.787 158.566 138.440 125.289 124.046 121.525 122.124 125.600 121.509 122.161 114.768 113.555 115.633 109.747 108.013 110.413 108.038 106.328 105.220 107.261 104.132 106.477 107.518 , 101.239 105.759 102.711 100.535 101.000 98.558 101.747 97.567 98.548 97.328 96.845 96.425 95.328 97.732 95.976 96.541 94.698 94.648 93.954 93.443
inductive-implicits, 8698, 2020-04-09T16:31:39Z, ba2b678, Thu Apr  9 19:26:12 CEST 2020, 7018.336 3217.678 2603.775 2342.927 2232.344 2417.161 2172.118 2135.450 2147.588 2093.540 2063.830 2073.007 2062.419 2034.670 2033.506 2029.215 2036.433 2000.236 1992.230 1988.718 1990.255 2131.596 1979.832 1959.167 1964.099 1969.961 1955.950 1965.046 1950.610 1949.837 , 1943.552 1942.431 1959.809 1947.070 1935.731 1939.114 1956.274 1945.729 1963.793 1936.598 1937.184 1927.762 1930.210 1941.234 1931.422 1929.360 1919.959 1921.442 1939.980 1922.249
