dotty, 3350, 2017-10-20T17:47:26Z, bed328d, 32827.5605, Fri Oct 20 20:08:57 CEST 2017, 75221.892 40308.524 35617.438 34760.223 34143.161 33814.256 32984.930 33263.748 33493.557 33335.712 , 33420.281 32812.193 32880.148 32926.279 32902.106 33688.178 33010.788 32827.586 32827.535 33589.753 32356.191 32548.525 32702.144 33343.475 32162.994 32433.006 32611.582 33356.349 32102.097 32508.317
tests/scala-library, 3350, 2017-10-20T17:47:26Z, bed328d, 5668.645, Fri Oct 20 20:12:20 CEST 2017, 24500.401 11013.247 8396.289 6862.706 6464.703 6257.449 6084.563 6048.334 5919.091 5887.150 , 5919.096 5753.827 5728.524 5722.751 5713.652 5739.458 5713.253 5668.783 5663.462 5668.507 5685.372 5667.965 5896.122 5597.985 5586.983 5593.643 5626.978 5596.384 5600.733 5615.819
tests/implicit_cache.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 121.421, Fri Oct 20 20:12:56 CEST 2017, 2955.010 519.391 411.679 338.684 304.807 277.666 312.787 251.763 221.194 150.129 , 147.181 130.284 129.638 129.624 125.093 127.112 127.011 123.109 122.148 126.149 119.629 118.084 118.298 115.738 117.026 117.965 116.062 120.694 113.385 114.279
tests/implicit-scope-loop.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 122.7155, Fri Oct 20 20:13:32 CEST 2017, 2812.914 534.745 533.120 422.727 313.383 260.004 188.707 162.362 147.617 154.351 , 138.437 137.549 132.359 130.304 129.061 125.046 129.653 122.273 122.150 123.637 122.847 122.584 119.729 132.727 119.693 115.315 118.133 115.015 118.105 114.685
tests/i1535.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 149.5265, Fri Oct 20 20:14:09 CEST 2017, 3290.797 1118.797 545.481 486.445 489.601 421.853 343.583 316.818 267.340 179.950 , 184.587 178.861 171.749 157.619 156.238 154.756 151.979 154.160 149.513 148.206 149.540 144.023 142.887 156.717 147.429 141.746 143.325 138.504 140.715 148.874
tests/i1687.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 101.1155, Fri Oct 20 20:14:45 CEST 2017, 2650.132 457.371 400.501 344.584 279.029 239.768 180.593 150.747 111.790 112.005 , 107.407 107.148 103.945 106.661 112.198 102.991 101.162 99.279 99.223 97.311 98.126 108.502 94.610 95.940 96.034 104.597 102.443 101.069 97.590 95.250
tests/Vector.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 557.2465, Fri Oct 20 20:18:14 CEST 2017, 6503.539 2893.827 1962.986 1461.190 1747.365 1348.580 1209.968 976.931 1079.675 1016.765 1055.356 902.253 737.909 687.754 676.723 653.703 641.493 653.762 623.919 628.279 7360.714 2222.986 1747.710 1456.927 1326.795 1295.117 1151.560 1039.786 948.910 871.172 843.793 707.435 667.084 660.912 644.138 655.001 624.139 602.452 602.033 606.522 7261.193 2851.908 1882.698 1674.142 1323.996 1328.770 1347.911 1201.634 883.477 756.099 726.770 776.637 667.096 647.077 638.548 623.427 640.733 658.353 601.639 596.014 , 613.436 631.215 601.893 606.556 602.447 579.923 583.637 576.371 603.849 563.799 563.588 559.083 561.943 560.781 553.991 565.210 550.230 554.669 547.953 555.632 543.062 551.795 542.723 558.021 541.368 539.517 536.357 569.035 536.843 533.797 613.599 601.644 599.647 695.444 572.943 573.439 571.473 595.157 641.227 557.931 560.609 566.441 551.629 546.278 547.229 552.309 542.512 535.781 547.138 530.375 536.836 534.515 545.704 533.254 523.216 525.316 539.827 522.322 522.209 525.063 615.580 581.728 574.569 562.232 576.855 567.083 649.602 630.770 548.729 562.443 551.435 555.486 556.562 560.334 660.331 567.757 540.471 529.058 533.516 536.736 534.934 525.643 542.082 523.997 519.563 583.927 593.303 564.240 517.933 562.246
tests/empty-class.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 79.07, Fri Oct 20 20:18:49 CEST 2017, 2370.646 334.899 239.466 207.102 229.588 178.138 158.672 140.503 106.794 94.530 , 84.293 81.423 81.445 80.790 82.810 81.874 93.616 79.801 77.662 78.339 79.917 80.140 75.728 76.810 78.234 75.423 77.043 75.661 76.647 75.665
tests/empty-object.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 80.472, Fri Oct 20 20:19:23 CEST 2017, 2371.962 345.569 241.594 204.062 226.333 173.710 111.421 99.568 115.815 107.178 , 89.640 83.362 84.835 83.556 83.559 81.565 81.484 80.374 80.918 78.874 80.262 77.969 79.025 77.489 80.570 81.322 77.731 77.780 77.880 77.506
tests/empty-file.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 61.635, Fri Oct 20 20:19:57 CEST 2017, 2118.241 282.409 170.432 150.835 132.476 88.556 78.249 72.772 67.718 65.446 , 65.212 64.343 64.536 62.345 63.614 61.662 62.351 61.821 60.663 62.869 60.700 61.231 60.007 61.243 61.608 62.542 60.858 59.585 60.501 59.697
tests/patmatexhaust.scala, 3350, 2017-10-20T17:47:26Z, bed328d, 299, Fri Oct 20 20:23:50 CEST 2017, 4891.645 1665.933 1564.266 1080.324 1049.721 776.672 935.491 844.946 763.220 732.827 676.041 579.814 528.866 415.987 409.694 426.045 384.345 374.452 375.450 363.172 5140.638 1685.546 1653.410 1120.745 1097.864 1006.332 847.369 704.360 599.718 620.046 607.947 658.071 647.711 596.644 418.953 458.762 501.949 512.489 455.787 380.094 5100.982 1565.341 1315.833 1399.709 1291.372 1194.987 834.327 664.541 593.354 553.672 540.050 677.424 592.053 507.215 412.248 435.191 392.519 378.270 378.105 387.678 , 351.123 347.492 408.445 336.268 334.430 325.706 334.019 321.365 319.149 413.526 360.448 365.034 346.590 309.022 297.416 294.998 298.226 290.986 291.207 298.339 289.479 291.818 291.502 294.151 285.113 293.233 281.845 292.792 304.736 285.342 280.125 287.417 278.691 282.926 283.361 275.995 325.666 284.565 278.146 279.853 355.847 351.343 341.209 333.410 359.404 327.896 325.450 330.648 321.499 314.712 325.665 309.054 327.481 340.653 323.466 342.376 363.818 301.336 296.656 306.952 299.907 292.189 300.994 299.661 314.282 294.542 289.184 286.682 296.162 387.649 281.418 287.558 281.083 279.965 289.276 279.407 278.443 287.559 278.246 277.836 358.376 421.496 343.244 410.474 343.156 336.843 335.882 324.689 321.005 405.126 333.455 312.600 315.060 319.174 305.270 303.623 304.964 296.640 303.108 300.060 289.895 291.556 292.486 300.080 291.155 295.681 289.041 292.749 288.832 284.757 289.423 283.143 282.686 291.983 279.605 278.781 291.205 278.333 279.646 281.882
