dotty, 3774, 2018-01-07T18:16:48Z, 4813c6b, 33723.383, Sun Jan  7 19:50:03 CET 2018, 71794.007 43647.251 37435.564 36008.214 35411.554 35786.507 34772.765 34468.645 34438.980 34514.890 34999.180 34268.360 34158.630 34209.177 35228.697 33946.093 33839.577 33990.090 34976.551 33722.680 33616.395 33854.671 34721.349 33814.411 33780.501 33657.083 34789.647 33785.251 33672.380 33686.678 , 34786.266 33664.840 33676.423 33768.589 34739.233 33675.256 33606.003 33796.425 34697.845 33713.440 33733.326 33762.192 34734.267 33695.355 33675.207 33763.773 34712.149 33655.653 33691.307 33589.474
tests/scala-library, 3774, 2018-01-07T18:16:48Z, 4813c6b, 5595.529, Sun Jan  7 19:55:33 CET 2018, 21832.208 10622.175 8431.384 7850.889 7312.146 6730.254 6465.718 6260.376 6125.814 6052.730 6057.078 5935.179 5847.581 5863.135 5838.600 5815.267 5808.289 5753.569 5725.898 5758.184 5759.044 5776.710 5716.500 5704.388 5679.122 5684.896 5670.694 5666.354 5703.748 5685.770 , 5640.213 5622.856 5667.200 5626.779 5592.890 5567.832 5646.281 5632.259 5595.018 5566.127 5567.150 5587.961 5596.040 5630.577 5585.086 5609.930 5596.687 5583.835 5557.525 5552.722
tests/implicit_cache.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 95.049, Sun Jan  7 19:56:43 CET 2018, 2688.064 457.554 345.265 298.008 233.397 207.500 162.123 140.149 131.418 118.955 116.104 116.333 114.027 113.906 110.077 109.813 110.127 107.485 107.869 104.876 104.329 102.479 102.767 103.235 100.160 101.456 98.364 99.626 98.096 97.656 , 99.422 97.251 98.778 95.551 97.876 95.245 97.319 94.546 96.139 94.653 95.323 93.640 92.932 95.295 92.668 94.208 92.170 94.853 92.392 93.485
tests/implicit-scope-loop.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 97.2655, Sun Jan  7 19:57:52 CET 2018, 2794.531 460.839 362.867 293.853 252.402 215.080 168.952 148.061 136.822 122.429 119.404 118.775 114.191 116.256 113.557 114.175 116.269 113.077 111.796 111.867 107.838 108.977 106.257 106.771 105.067 106.533 107.549 105.530 106.949 101.839 , 102.990 100.346 100.129 100.198 97.895 100.120 98.278 98.161 96.868 97.968 95.917 97.618 95.410 95.769 96.039 95.825 96.913 94.368 94.932 94.421
tests/i1535.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 111.9955, Sun Jan  7 19:59:04 CET 2018, 3125.240 686.165 441.614 360.503 298.354 246.674 221.820 202.378 180.805 159.227 157.902 153.500 152.891 152.173 146.562 143.482 139.243 139.793 135.188 129.257 131.718 126.279 124.563 122.811 124.420 121.380 121.868 120.132 120.031 117.996 , 119.330 116.804 114.052 116.114 114.202 114.786 112.350 114.447 110.379 111.641 112.935 110.364 110.168 110.881 109.110 110.431 112.843 107.736 109.969 109.205
tests/i1687.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 67.833, Sun Jan  7 20:00:12 CET 2018, 2441.971 393.798 270.785 214.651 177.224 146.523 129.477 105.478 93.727 88.799 81.733 83.707 80.626 81.506 79.462 77.529 79.719 77.106 76.148 74.842 74.010 73.811 73.989 73.857 72.488 71.144 71.575 69.920 71.141 70.273 , 70.325 68.779 69.763 68.735 68.076 68.592 67.840 70.600 67.020 67.280 67.826 68.118 67.252 66.965 67.853 66.890 66.639 67.087 66.061 66.937
tests/Vector.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 544.2325, Sun Jan  7 20:03:51 CET 2018, 6440.553 2371.534 1775.292 1538.395 1394.811 1377.927 1239.825 1147.894 1047.677 979.414 913.104 835.238 794.256 768.902 767.671 727.647 718.228 693.237 679.311 651.694 6334.109 1994.812 1530.952 1352.952 1204.210 1121.576 1029.006 1013.172 912.508 901.997 836.797 764.095 712.488 713.752 705.897 684.665 682.146 646.520 628.241 623.835 6515.456 2235.573 1737.528 1479.509 1363.891 1269.627 1113.068 1037.162 1034.767 913.703 880.441 826.583 806.075 778.323 752.405 699.653 678.094 690.476 658.300 631.426 , 660.152 636.108 628.439 614.686 626.048 610.154 599.714 588.466 588.662 571.362 569.550 568.554 567.608 558.671 558.861 552.365 569.195 549.973 546.832 539.405 546.885 543.110 537.259 533.836 550.746 526.907 529.692 534.994 540.051 525.167 634.684 592.648 589.095 579.843 580.574 572.762 557.993 552.913 551.391 543.116 533.240 531.258 550.023 521.076 519.033 520.441 527.845 510.251 503.822 503.146 518.003 504.086 507.893 503.857 507.753 501.118 501.267 502.140 508.766 494.655 647.293 616.065 610.227 608.424 612.524 585.975 579.674 570.906 582.002 554.702 558.389 544.549 558.194 539.639 543.916 537.601 556.193 535.370 536.221 527.160 530.007 527.325 530.159 527.580 535.004 514.987 514.872 519.665 532.976 521.072
tests/empty-class.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 53.5985, Sun Jan  7 20:04:59 CET 2018, 2143.571 271.375 174.362 134.465 115.165 99.296 89.355 82.020 71.211 65.573 64.410 64.104 64.117 63.565 62.206 60.244 60.274 57.663 59.238 57.644 57.552 55.930 56.609 55.688 55.884 55.175 56.525 54.652 55.439 54.010 , 55.626 54.063 54.399 55.437 54.116 53.841 54.254 53.289 54.061 53.290 54.245 52.938 54.025 52.696 53.356 52.545 53.274 52.018 52.962 52.404
tests/empty-object.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 54.674, Sun Jan  7 20:06:06 CET 2018, 2188.011 266.765 172.634 142.887 125.385 115.583 100.476 91.159 83.141 72.747 69.947 65.854 63.310 60.163 60.009 58.732 59.544 58.916 58.281 58.548 59.116 59.022 57.580 57.580 56.079 57.000 55.446 57.043 55.331 56.760 , 55.580 55.158 54.959 55.067 54.756 54.791 54.124 54.720 54.628 54.478 53.986 54.964 53.108 54.753 53.386 54.114 52.681 54.072 52.594 54.907
tests/empty-file.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 37.2585, Sun Jan  7 20:07:13 CET 2018, 1633.255 183.981 106.988 85.642 72.134 59.922 52.864 47.300 45.125 44.368 43.291 42.785 41.704 41.435 40.215 40.162 39.338 39.901 39.389 38.703 38.823 37.989 38.411 38.336 38.335 38.678 37.784 38.176 37.614 38.338 , 37.990 37.188 37.548 37.667 37.184 37.446 37.017 37.417 37.532 36.915 37.243 36.910 37.331 38.346 36.911 37.274 36.728 37.368 37.134 36.843
tests/patmatexhaust.scala, 3774, 2018-01-07T18:16:48Z, 4813c6b, 281.2625, Sun Jan  7 20:11:08 CET 2018, 4749.937 1512.402 1215.456 1059.863 891.033 756.896 690.724 598.897 543.285 508.245 469.618 457.104 449.829 408.796 400.086 376.129 366.786 353.465 372.155 356.477 4766.849 1520.611 1213.784 1058.942 884.862 743.794 691.193 624.206 569.031 536.330 506.529 472.484 464.456 415.887 397.724 376.287 377.625 360.360 380.896 370.403 4775.206 1516.941 1227.016 1081.490 879.431 789.789 703.763 639.931 599.265 562.259 532.898 538.175 468.739 430.116 410.071 391.319 376.173 362.646 369.085 362.037 , 354.248 347.887 358.376 337.137 329.056 327.838 324.833 316.493 317.608 307.682 294.706 296.791 293.818 290.204 284.636 286.512 280.160 275.029 274.842 278.656 271.041 270.474 271.344 268.519 269.320 274.847 269.011 265.519 267.386 261.332 263.669 264.805 266.872 256.576 259.176 261.412 258.565 261.777 261.338 253.675 364.652 356.232 362.984 351.826 348.367 340.947 347.478 326.171 322.998 318.647 318.233 303.332 307.419 308.944 296.432 292.983 296.099 287.093 284.318 284.815 279.834 280.106 282.612 269.919 272.608 274.640 272.079 270.317 263.042 269.498 261.160 260.110 268.496 258.826 256.012 265.589 258.033 259.617 267.318 254.480 356.584 358.270 359.664 359.178 347.025 341.330 332.020 333.571 319.768 313.775 314.877 307.662 306.237 303.833 303.655 298.367 295.586 293.883 282.975 280.937 285.273 282.900 281.588 276.933 274.393 274.933 278.032 282.707 267.889 266.611 270.298 262.939 268.906 270.317 262.089 264.425 271.651 273.007 264.900 264.594
