dotty, 3382, 2017-11-15T14:54:36Z, 4a0606a, 32418.9035, Wed Nov 15 16:27:19 CET 2017, 78676.566 40496.314 35562.152 34505.952 34425.968 34273.612 33518.476 33558.640 33343.784 34097.948 32961.998 33164.946 32885.566 32841.865 33545.069 33012.298 32974.302 32713.865 33307.810 32721.212 32431.167 32672.483 33369.735 32462.319 32418.672 32489.902 33222.504 32471.036 32379.651 32371.083 , 33274.355 32532.099 32363.801 32388.084 33314.199 32381.051 32295.208 32273.139 33173.308 32281.909 32354.975 32470.258 33416.941 32458.592 32410.176 32489.256 33247.916 32400.762 32378.330 32427.631
tests/scala-library, 3382, 2017-11-15T14:54:36Z, 4a0606a, 5772.7665, Wed Nov 15 16:33:03 CET 2017, 23924.104 13320.761 9187.252 7470.903 7306.473 6728.166 6606.721 6242.859 6493.551 6264.717 6072.752 6008.995 5963.785 5946.494 6000.563 6002.254 6055.903 5915.227 5900.908 5880.500 5864.831 5975.552 6380.342 5797.547 5856.292 5870.839 5828.469 5811.451 5799.257 5829.910 , 5836.039 5798.247 5933.931 5867.044 5807.618 5775.028 5895.371 5764.427 5731.697 5754.138 5781.675 5844.670 5779.943 5770.505 5760.779 5744.926 5741.367 5732.903 5732.063 5715.666
tests/implicit_cache.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 107.5, Wed Nov 15 16:34:15 CET 2017, 2867.502 509.892 546.292 452.747 357.208 264.046 232.240 200.318 140.214 141.148 151.679 134.134 129.527 122.678 138.689 128.777 121.337 123.680 115.514 117.068 116.845 116.321 113.321 114.090 115.450 112.856 112.840 110.488 118.943 109.549 , 110.873 107.448 107.523 112.030 106.412 107.913 104.982 107.477 106.016 107.187 104.008 106.240 113.247 112.060 108.409 103.585 108.511 113.732 112.768 101.452
tests/implicit-scope-loop.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 111.324, Wed Nov 15 16:35:26 CET 2017, 3007.489 728.139 536.002 387.476 334.584 232.091 200.393 207.208 156.568 158.776 184.577 137.666 182.320 133.404 130.842 143.793 127.543 135.237 126.299 122.774 122.025 120.633 117.409 116.064 123.007 120.933 121.687 114.558 113.515 115.213 , 111.604 111.278 116.543 111.370 112.984 110.444 112.654 115.020 112.796 116.141 109.064 109.202 106.949 109.072 108.355 108.340 109.666 114.020 112.011 107.342
tests/i1535.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 137.075, Wed Nov 15 16:36:38 CET 2017, 3329.429 755.775 553.942 428.545 349.726 284.545 282.735 203.384 190.020 182.021 172.253 163.504 157.683 157.576 158.028 158.638 160.728 150.822 151.465 162.337 146.678 148.232 149.671 148.876 180.869 174.587 144.526 142.882 144.730 175.593 , 137.954 145.113 140.950 136.377 138.520 134.732 133.900 137.055 140.888 144.962 137.673 142.928 131.836 132.614 130.660 129.356 137.535 134.638 137.095 128.924
tests/i1687.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 87.7205, Wed Nov 15 16:37:48 CET 2017, 2729.333 514.903 462.748 277.383 264.348 258.743 154.806 156.548 125.251 118.415 101.523 111.138 98.067 105.453 98.702 105.453 96.465 94.346 92.972 94.578 94.252 93.116 93.857 93.743 92.309 91.913 89.623 89.586 90.929 91.804 , 93.218 88.020 88.613 86.759 88.297 92.859 91.333 88.148 86.804 87.316 87.421 88.119 85.308 88.737 89.683 86.346 85.960 85.761 84.825 86.522
tests/Vector.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 568.0055, Wed Nov 15 16:41:38 CET 2017, 7069.016 2151.487 1862.256 2005.295 1738.575 1578.587 1542.228 1462.052 1230.760 1040.739 1069.508 1100.275 984.598 772.139 712.011 688.071 661.925 642.712 659.727 643.121 8092.036 2465.360 2321.593 2042.073 1797.100 1489.903 1538.851 1335.759 858.811 794.734 785.497 824.414 664.925 660.408 641.669 628.423 627.144 616.115 606.619 602.998 7107.642 2811.560 1745.114 1743.159 1365.235 1310.941 1077.840 1036.420 885.350 857.214 794.734 839.928 731.003 698.023 679.179 662.922 747.045 683.700 624.633 610.318 , 630.880 611.182 771.514 770.853 594.872 586.178 591.405 628.558 574.060 586.001 561.472 560.907 559.958 567.492 647.969 554.824 557.120 573.396 581.796 550.949 552.498 555.931 547.945 544.933 548.137 559.934 536.696 540.379 578.949 565.797 629.434 616.239 598.052 621.992 604.787 588.209 583.792 645.608 576.379 567.683 561.284 640.915 583.370 563.318 569.645 567.060 559.391 570.875 581.195 550.948 579.800 587.192 574.432 548.214 546.811 549.491 585.975 590.399 545.109 539.967 795.366 631.557 605.743 636.533 595.620 582.751 588.618 657.294 609.898 587.231 571.076 568.328 547.870 548.912 550.473 551.952 543.340 554.509 552.241 536.824 558.232 532.991 550.861 541.556 527.706 535.232 555.505 542.412 530.636 528.542
tests/empty-class.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 72.914, Wed Nov 15 16:42:48 CET 2017, 2534.477 312.110 298.322 255.577 230.486 188.070 151.247 120.725 93.917 95.432 83.505 79.349 83.543 84.170 78.684 79.703 79.424 78.054 75.944 77.509 75.730 76.233 74.400 75.883 76.963 75.352 74.929 74.989 76.127 76.133 , 73.600 74.246 74.590 73.280 74.785 73.463 73.873 75.060 75.320 72.334 72.496 71.261 75.579 71.711 72.548 70.993 71.821 70.770 71.964 71.471
tests/empty-object.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 72.8155, Wed Nov 15 16:43:58 CET 2017, 2449.674 322.943 257.056 214.363 225.774 173.286 111.331 117.410 100.044 88.450 87.886 80.124 81.428 79.124 80.372 77.258 78.737 76.494 77.745 76.939 77.497 78.967 79.230 76.194 80.009 74.614 76.126 74.429 75.525 80.521 , 76.098 72.397 73.738 73.579 73.998 72.399 74.569 72.718 73.794 72.754 74.157 72.877 74.427 72.591 73.275 71.499 71.897 72.171 71.643 71.247
tests/empty-file.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 58.2185, Wed Nov 15 16:45:06 CET 2017, 2008.030 265.542 177.625 146.162 168.696 111.679 81.012 73.737 65.228 64.812 62.228 62.887 62.682 60.772 61.902 60.104 62.012 64.534 62.145 60.363 60.609 60.696 58.679 60.949 59.936 61.072 58.051 60.443 57.855 60.316 , 59.494 58.703 59.545 58.549 59.624 57.769 59.302 58.753 57.899 59.375 57.544 58.477 57.114 57.900 58.418 56.962 57.902 56.781 58.019 56.675
tests/patmatexhaust.scala, 3382, 2017-11-15T14:54:36Z, 4a0606a, 294.812, Wed Nov 15 16:49:14 CET 2017, 5265.473 1549.424 1217.367 1180.936 1329.550 1109.385 1093.432 942.387 774.475 764.722 625.749 467.021 434.467 519.216 543.111 430.042 513.648 457.650 384.199 362.490 5402.988 2126.747 1547.844 1074.866 1000.309 1029.970 1015.637 864.422 711.481 796.502 729.862 511.527 515.578 598.742 509.618 474.310 427.606 428.320 359.685 334.802 5496.601 2119.014 1356.609 1341.157 1232.072 1161.961 1069.872 948.016 808.033 688.767 615.406 596.892 550.894 473.142 409.378 395.896 406.863 370.662 358.074 348.708 , 363.088 359.451 342.115 340.020 414.930 345.802 324.351 322.809 312.222 371.715 322.562 306.002 300.746 311.759 300.876 296.878 299.296 292.429 288.103 299.409 282.744 283.709 292.701 376.077 288.739 280.756 343.431 281.414 280.893 296.068 277.458 279.276 286.314 275.785 279.569 277.772 286.885 277.796 277.543 274.600 344.520 328.888 327.953 336.544 323.614 326.559 319.583 312.722 312.046 334.178 301.846 300.828 302.860 300.653 295.041 293.802 299.170 289.060 291.912 293.010 293.400 388.136 294.583 286.288 285.643 289.688 280.323 290.109 284.828 280.006 279.223 283.124 280.477 277.633 278.828 278.323 274.256 279.054 277.179 272.671 358.154 343.679 334.353 339.277 326.487 322.362 331.160 324.456 306.746 313.206 303.365 306.909 305.847 296.789 316.006 396.840 309.078 301.634 385.112 323.709 289.917 320.013 319.077 287.814 284.770 289.635 280.540 283.256 292.669 285.521 280.508 286.268 279.009 282.549 282.355 279.048 280.883 284.290 275.543 278.322
