dotty, 3821, 2018-01-13T17:26:05Z, 900bcf3, 34189.374, Sat Jan 13 19:00:14 CET 2018, 87072.487 41320.960 37141.445 36769.769 36753.368 36053.935 35048.161 34901.416 34777.515 34918.772 35427.504 34908.356 34647.848 34629.440 34739.587 35401.963 34537.105 34529.905 34454.316 35457.876 34366.811 34295.413 34257.193 35227.660 34224.328 34280.428 34209.211 35230.369 34124.839 34333.202 , 34127.372 34994.720 34198.755 34255.218 34082.683 34934.525 34096.157 34206.567 34123.749 35120.881 34158.218 34246.569 34114.849 35076.653 34121.117 34214.112 34141.710 35099.650 34059.012 34179.993
tests/scala-library, 3821, 2018-01-13T17:26:05Z, 900bcf3, 5667.9955, Sat Jan 13 19:05:55 CET 2018, 26232.093 11459.519 9872.543 7374.457 7212.395 6364.662 6260.794 6131.782 6126.504 6102.456 6057.169 6360.197 5900.957 5922.031 5890.637 5855.066 5817.598 5783.939 5823.078 5830.991 5824.572 5798.836 5759.771 5747.551 5729.299 5729.873 5718.875 5844.516 5796.898 5730.118 , 5702.821 5753.619 5695.011 5660.434 5648.274 5645.764 5679.061 5682.778 5659.106 5658.614 5652.564 5668.858 5698.820 5629.035 5658.690 5662.246 5669.438 5667.133 5716.282 5673.985
tests/implicit_cache.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 93.9045, Sat Jan 13 19:07:05 CET 2018, 2938.944 515.967 380.558 302.561 279.430 231.021 158.179 198.271 159.535 146.415 115.219 115.660 116.371 114.386 133.253 110.697 111.919 110.238 106.328 115.929 105.189 107.797 104.417 102.106 100.223 99.690 100.051 97.824 99.220 97.225 , 99.359 98.317 100.186 96.299 96.236 97.027 95.011 96.708 92.694 95.786 92.470 93.699 93.802 94.007 92.470 93.251 91.400 92.238 90.615 91.567
tests/implicit-scope-loop.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 100.5, Sat Jan 13 19:08:16 CET 2018, 2848.932 508.946 431.977 295.681 272.695 255.074 188.388 185.863 145.986 143.088 145.921 122.569 118.623 116.853 117.614 112.743 111.045 113.597 110.091 110.732 107.960 108.639 107.397 105.855 107.562 106.309 106.832 103.626 105.309 101.347 , 103.682 100.485 101.446 101.822 100.106 101.453 99.879 101.684 98.818 98.537 96.375 96.830 106.676 100.515 100.855 99.009 101.243 104.596 97.557 94.665
tests/i1535.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 113.862, Sat Jan 13 19:09:28 CET 2018, 3484.335 685.836 503.251 507.244 390.405 351.898 291.854 244.597 184.653 202.307 174.910 156.226 151.885 139.965 139.123 158.141 134.339 131.601 133.186 130.192 127.337 128.398 126.869 123.425 123.664 127.020 128.947 128.094 127.127 133.284 , 119.287 120.602 116.183 114.234 122.408 130.503 149.034 126.030 113.490 111.412 111.573 112.132 111.939 111.053 112.413 108.655 107.691 128.656 121.247 112.952
tests/i1687.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 66.756, Sat Jan 13 19:10:37 CET 2018, 2538.384 429.084 309.989 276.572 216.300 140.045 114.695 95.113 89.804 86.451 84.456 79.231 76.325 76.537 77.261 80.525 73.262 72.263 72.472 72.003 74.693 71.558 70.784 72.110 82.602 82.607 70.442 67.809 68.750 69.441 , 68.957 66.942 68.115 66.659 67.754 66.374 66.719 66.793 65.627 66.405 66.519 66.115 69.288 67.054 67.636 66.157 66.229 67.657 67.243 65.574
tests/Vector.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 556.2785, Sat Jan 13 19:14:26 CET 2018, 7541.822 2453.236 2394.187 2017.950 1829.954 1349.751 1513.093 1405.989 1165.885 839.966 797.743 829.160 669.715 660.306 651.152 625.315 615.557 678.899 709.897 621.203 7698.142 2257.092 2401.302 1606.058 1478.148 1296.243 1132.499 1057.995 1266.877 1344.488 1211.502 1091.141 982.024 691.778 670.101 712.629 799.417 712.253 799.370 634.993 6808.652 2813.408 2286.782 1889.444 1337.039 1430.011 1266.000 1196.533 874.260 1042.078 811.244 779.317 737.870 695.407 661.708 651.286 653.346 772.326 828.441 742.121 , 630.991 598.178 701.918 584.954 584.068 572.768 565.005 561.831 588.684 549.236 564.521 560.701 552.644 540.725 544.590 536.855 556.942 546.409 533.554 526.776 537.491 529.322 531.777 535.125 531.728 519.214 515.684 535.204 528.416 532.452 631.186 633.115 642.127 589.437 602.644 587.613 589.250 587.586 582.816 573.992 569.712 561.390 554.609 558.323 565.076 549.789 549.947 599.320 558.902 556.253 588.142 554.818 536.560 537.307 619.843 561.832 529.914 544.498 628.411 560.513 595.333 591.525 577.529 569.328 570.099 560.509 562.114 558.681 570.651 554.430 541.930 536.944 556.304 537.729 535.863 578.474 550.002 535.019 533.621 544.675 542.162 533.222 532.190 524.129 573.109 522.453 525.904 519.755 528.200 516.949
tests/empty-class.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 54.2785, Sat Jan 13 19:15:36 CET 2018, 2307.175 271.249 209.419 167.359 160.080 146.309 98.582 91.147 80.675 77.994 64.433 66.963 62.048 61.074 60.682 59.777 60.709 64.600 58.196 58.163 58.002 63.123 57.090 56.454 55.524 56.184 55.251 56.141 55.465 57.599 , 54.970 55.764 54.307 55.033 57.492 54.482 53.817 54.250 53.591 54.683 53.481 54.857 53.151 54.134 54.153 53.823 53.597 53.530 54.742 54.378
tests/empty-object.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 54.485, Sat Jan 13 19:16:44 CET 2018, 2278.638 277.822 254.741 178.438 142.939 141.650 115.111 98.607 94.813 67.524 66.298 65.164 62.917 63.086 65.461 64.364 60.481 61.716 59.734 58.687 60.297 61.912 59.818 57.020 57.354 56.767 55.744 56.121 55.545 55.492 , 55.670 56.683 54.354 55.398 55.549 56.695 54.509 54.689 54.291 54.473 53.719 54.763 53.816 55.827 53.268 54.497 53.625 54.082 53.160 53.532
tests/empty-file.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 37.8955, Sat Jan 13 19:17:50 CET 2018, 1648.761 186.671 112.267 94.570 78.793 66.920 56.515 74.684 60.352 55.628 46.191 42.170 40.867 40.064 40.777 40.611 39.605 38.882 39.336 39.645 38.753 39.473 38.377 38.836 38.733 38.403 39.152 38.042 38.561 38.476 , 37.933 49.508 42.879 38.240 37.694 38.236 38.096 37.748 38.417 38.222 38.550 37.858 37.405 37.945 37.604 37.690 37.736 37.175 37.664 37.367
tests/patmatexhaust.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 279.9375, Sat Jan 13 19:21:54 CET 2018, 4912.359 1778.756 1420.291 1210.144 1040.355 1093.607 916.214 852.719 737.987 694.428 560.118 457.243 467.870 457.816 455.323 378.340 421.331 434.504 358.109 392.644 5294.409 2175.258 1628.126 1343.503 1223.858 970.925 925.701 839.217 547.136 681.740 464.011 584.000 469.815 510.963 453.155 382.937 358.540 338.481 340.948 367.861 5517.814 1718.840 1635.433 1219.954 1000.208 861.477 748.625 631.921 680.333 578.271 595.834 574.519 580.380 464.847 453.525 397.148 371.676 359.026 349.051 349.336 , 333.788 324.248 318.838 318.811 304.050 299.000 398.495 334.805 295.051 287.746 291.140 287.544 338.984 346.615 293.453 276.515 288.220 281.183 294.321 269.680 275.992 268.117 274.409 276.723 271.788 265.995 268.975 269.001 266.281 267.209 262.180 262.243 266.467 263.804 259.522 270.767 264.634 259.010 275.232 268.517 337.133 315.405 334.055 398.015 312.111 300.398 308.878 298.123 319.457 296.566 318.261 303.391 284.612 290.705 279.549 272.929 283.060 309.330 270.084 277.529 285.956 289.387 275.402 268.668 262.915 270.336 284.644 263.190 257.332 262.726 258.400 262.260 259.569 255.557 272.976 273.867 253.965 256.973 263.266 258.933 343.802 357.342 328.092 370.495 316.740 308.420 311.276 394.027 292.652 380.373 325.374 318.921 286.299 285.488 314.675 334.922 287.053 312.610 301.105 288.993 298.749 273.583 275.847 280.326 270.323 272.867 267.386 275.725 293.515 270.976 277.601 264.132 266.175 270.766 260.640 261.490 267.453 260.832 266.596 263.620
tests/exhaustivity-I.scala, 3821, 2018-01-13T17:26:05Z, 900bcf3, 154.4585, Sat Jan 13 19:25:38 CET 2018, 4053.001 1514.827 1128.416 828.838 702.476 437.925 377.487 433.889 296.210 337.538 354.120 336.434 235.377 207.382 200.336 284.554 230.677 255.017 208.073 172.626 4378.109 1107.201 794.404 609.952 524.876 449.678 428.545 448.749 342.934 381.099 314.642 280.629 285.443 282.987 268.074 207.084 199.044 197.681 189.251 211.904 3825.046 1404.003 1190.983 751.305 646.589 616.486 516.351 374.394 373.185 315.723 264.064 284.207 232.970 224.781 299.002 213.548 190.344 185.943 190.442 208.275 , 170.810 172.759 203.089 173.215 164.814 160.352 160.641 160.488 156.276 157.960 157.424 154.626 154.467 156.875 155.937 161.708 154.450 151.740 156.718 151.908 150.520 153.180 149.076 148.493 145.573 145.635 151.310 146.579 146.645 146.246 144.966 144.903 148.076 143.757 144.407 143.657 144.026 146.286 147.378 143.674 200.316 184.237 174.174 196.135 180.615 169.987 167.114 170.299 164.092 165.700 164.570 160.904 162.174 158.543 158.339 161.174 158.300 155.197 158.013 154.186 154.234 156.641 155.515 154.550 153.704 150.751 152.968 157.989 148.459 152.826 154.635 149.190 149.051 146.186 148.214 146.361 145.583 146.796 145.364 147.079 181.745 181.553 167.892 164.589 162.676 160.074 163.321 157.264 158.552 162.039 155.870 156.984 157.439 156.875 161.487 154.748 155.588 154.844 154.154 151.314 191.383 149.289 145.534 152.633 145.600 148.582 145.324 144.361 145.331 142.945 143.303 145.222 142.533 143.850 143.036 143.030 143.618 142.241 143.959 144.216
